{'order_id': 21000, 'package': {'weight': 326, 'volume': 62018, 'imperial_unit': 'false'}}
{'order_id': 21034, 'package': {'weight': 110, 'volume': 19712, 'imperial_unit': 'false'}}
{'order_id': 21035, 'package': {'weight': 1456, 'volume': 126000, 'imperial_unit': 'false'}}
{'order_id': 21036, 'package': {'weight': 120, 'volume': 22848, 'imperial_unit': 'false'}}
{'order_id': 21037, 'package': {'weight': 510, 'volume': 39168, 'imperial_unit': 'false'}}
{'order_id': 21038, 'package': {'weight': 101, 'volume': 20302, 'imperial_unit': 'false'}}
{'order_id': 21039, 'package': {'weight': 300, 'volume': 37440, 'imperial_unit': 'false'}}
{'order_id': 21040, 'package': {'weight': 100, 'volume': 46656, 'imperial_unit': 'false'}}
{'order_id': 21041, 'package': {'weight': 250, 'volume': 37440, 'imperial_unit': 'false'}}
{'order_id': 21042, 'package': {'weight': 110, 'volume': 19712, 'imperial_unit': 'false'}}
{'order_id': 21043, 'package': {'weight': 315, 'volume': 29700, 'imperial_unit': 'false'}}
{'order_id': 21044, 'package': {'weight': 239, 'volume': 40586, 'imperial_unit': 'false'}}
{'order_id': 21045, 'package': {'weight': 45, 'volume': 30960, 'imperial_unit': 'false'}}
{'order_id': 21046, 'package': {'weight': 45, 'volume': 30960, 'imperial_unit': 'false'}}
{'order_id': 21047, 'package': {'weight': 200, 'volume': 76960, 'imperial_unit': 'false'}}
{'order_id': 21048, 'package': {'weight': 295, 'volume': 51136, 'imperial_unit': 'true'}}
{'order_id': 21049, 'package': {'weight': 220, 'volume': 39150, 'imperial_unit': 'false'}}
{'order_id': 21050, 'package': {'weight': 160, 'volume': 19350, 'imperial_unit': 'true'}}
{'order_id': 21051, 'package': {'weight': 208, 'volume': 14400, 'imperial_unit': 'true'}}
{'order_id': 21052, 'package': {'weight': 600, 'volume': 46080, 'imperial_unit': 'true'}}
{'order_id': 21053, 'package': {'weight': 1020, 'volume': 212005, 'imperial_unit': 'true'}}
{'order_id': 21054, 'package': {'weight': 150, 'volume': 18816, 'imperial_unit': 'true'}}
{'order_id': 21055, 'package': {'weight': 130, 'volume': 23572, 'imperial_unit': 'false'}}
{'order_id': 21056, 'package': {'weight': 219, 'volume': 42126, 'imperial_unit': 'false'}}
{'order_id': 21057, 'package': {'weight': 576, 'volume': 32256, 'imperial_unit': 'false'}}
{'order_id': 21058, 'package': {'weight': 660, 'volume': 50688, 'imperial_unit': 'false'}}
{'order_id': 21059, 'package': {'weight': 130, 'volume': 23572, 'imperial_unit': 'false'}}
{'order_id': 21060, 'package': {'weight': 100, 'volume': 46656, 'imperial_unit': 'false'}}
{'order_id': 21061, 'package': {'weight': 150, 'volume': 26592, 'imperial_unit': 'false'}}
{'order_id': 21062, 'package': {'weight': 660, 'volume': 50688, 'imperial_unit': 'false'}}
{'order_id': 21063, 'package': {'weight': 160, 'volume': 2304, 'imperial_unit': 'false'}}
{'order_id': 21064, 'package': {'weight': 200, 'volume': 113256, 'imperial_unit': 'false'}}
{'order_id': 21065, 'package': {'weight': 100, 'volume': 46656, 'imperial_unit': 'false'}}
{'order_id': 21066, 'package': {'weight': 100, 'volume': 43710, 'imperial_unit': 'false'}}
{'order_id': 21067, 'package': {'weight': 132, 'volume': 26880, 'imperial_unit': 'false'}}
{'order_id': 21068, 'package': {'weight': 780, 'volume': 59904, 'imperial_unit': 'false'}}
{'order_id': 21069, 'package': {'weight': 191, 'volume': 14280, 'imperial_unit': 'false'}}
{'order_id': 21070, 'package': {'weight': 132, 'volume': 26880, 'imperial_unit': 'false'}}
{'order_id': 21071, 'package': {'weight': 17, 'volume': 35035, 'imperial_unit': 'true'}}
{'order_id': 21072, 'package': {'weight': 100, 'volume': 46656, 'imperial_unit': 'false'}}
{'order_id': 21073, 'package': {'weight': 236, 'volume': 21318, 'imperial_unit': 'false'}}
{'order_id': 21074, 'package': {'weight': 160, 'volume': 15232, 'imperial_unit': 'false'}}
{'order_id': 21075, 'package': {'weight': 150, 'volume': 12480, 'imperial_unit': 'false'}}
{'order_id': 21076, 'package': {'weight': 173, 'volume': 29700, 'imperial_unit': 'false'}}
{'order_id': 21077, 'package': {'weight': 720, 'volume': 55296, 'imperial_unit': 'false'}}
{'order_id': 21078, 'package': {'weight': 300, 'volume': 76160, 'imperial_unit': 'false'}}
{'order_id': 21079, 'package': {'weight': 840, 'volume': 166320, 'imperial_unit': 'false'}}
{'order_id': 21080, 'package': {'weight': 100, 'volume': 46656, 'imperial_unit': 'false'}}
{'order_id': 21081, 'package': {'weight': 150, 'volume': 12480, 'imperial_unit': 'false'}}
{'order_id': 21082, 'package': {'weight': 460, 'volume': 51840, 'imperial_unit': 'false'}}
{'order_id': 21083, 'package': {'weight': 15, 'volume': 117342, 'imperial_unit': 'false'}}
{'order_id': 21084, 'package': {'weight': 79, 'volume': 20880, 'imperial_unit': 'false'}}
{'order_id': 21085, 'package': {'weight': 110, 'volume': 18560, 'imperial_unit': 'false'}}
{'order_id': 21086, 'package': {'weight': 650, 'volume': 8673, 'imperial_unit': 'true'}}
{'order_id': 21087, 'package': {'weight': 242, 'volume': 24664, 'imperial_unit': 'false'}}
{'order_id': 21088, 'package': {'weight': 120, 'volume': 12160, 'imperial_unit': 'false'}}
{'order_id': 21089, 'package': {'weight': 100, 'volume': 46656, 'imperial_unit': 'false'}}
{'order_id': 21090, 'package': {'weight': 79, 'volume': 20880, 'imperial_unit': 'true'}}
{'order_id': 21091, 'package': {'weight': 150, 'volume': 38400, 'imperial_unit': 'true'}}
{'order_id': 21092, 'package': {'weight': 214, 'volume': 84350, 'imperial_unit': 'false'}}
{'order_id': 21093, 'package': {'weight': 330, 'volume': 63248, 'imperial_unit': 'true'}}
{'order_id': 21094, 'package': {'weight': 160, 'volume': 29920, 'imperial_unit': 'true'}}
{'order_id': 21095, 'package': {'weight': 750, 'volume': 57600, 'imperial_unit': 'true'}}
{'order_id': 21096, 'package': {'weight': 357, 'volume': 65000, 'imperial_unit': 'true'}}
{'order_id': 21097, 'package': {'weight': 450, 'volume': 19360, 'imperial_unit': 'true'}}
{'order_id': 21098, 'package': {'weight': 451, 'volume': 86691, 'imperial_unit': 'false'}}
{'order_id': 21099, 'package': {'weight': 100, 'volume': 46656, 'imperial_unit': 'false'}}
{'order_id': 21100, 'package': {'weight': 190, 'volume': 72360, 'imperial_unit': 'false'}}
{'order_id': 21101, 'package': {'weight': 120, 'volume': 35700, 'imperial_unit': 'false'}}
{'order_id': 21102, 'package': {'weight': 750, 'volume': 57600, 'imperial_unit': 'false'}}
{'order_id': 21103, 'package': {'weight': 160, 'volume': 15552, 'imperial_unit': 'false'}}
{'order_id': 21104, 'package': {'weight': 700, 'volume': 459000, 'imperial_unit': 'false'}}
{'order_id': 21105, 'package': {'weight': 460, 'volume': 51840, 'imperial_unit': 'false'}}
{'order_id': 21106, 'package': {'weight': 120, 'volume': 17298, 'imperial_unit': 'false'}}
{'order_id': 21107, 'package': {'weight': 500, 'volume': 105840, 'imperial_unit': 'false'}}
{'order_id': 21108, 'package': {'weight': 100, 'volume': 46656, 'imperial_unit': 'false'}}
{'order_id': 21109, 'package': {'weight': 120, 'volume': 17298, 'imperial_unit': 'false'}}
{'order_id': 21110, 'package': {'weight': 480, 'volume': 100800, 'imperial_unit': 'false'}}
{'order_id': 21111, 'package': {'weight': 246, 'volume': 20691, 'imperial_unit': 'false'}}
{'order_id': 21112, 'package': {'weight': 14, 'volume': 3990, 'imperial_unit': 'false'}}
{'order_id': 21113, 'package': {'weight': 246, 'volume': 20691, 'imperial_unit': 'false'}}
{'order_id': 21114, 'package': {'weight': 630, 'volume': 48384, 'imperial_unit': 'false'}}
{'order_id': 21115, 'package': {'weight': 85, 'volume': 15960, 'imperial_unit': 'false'}}
{'order_id': 21116, 'package': {'weight': 246, 'volume': 20691, 'imperial_unit': 'false'}}
{'order_id': 21117, 'package': {'weight': 330, 'volume': 127296, 'imperial_unit': 'false'}}
{'order_id': 21118, 'package': {'weight': 121, 'volume': 21841, 'imperial_unit': 'false'}}
{'order_id': 21119, 'package': {'weight': 1320, 'volume': 704000, 'imperial_unit': 'false'}}
{'order_id': 21120, 'package': {'weight': 291, 'volume': 59220, 'imperial_unit': 'false'}}
{'order_id': 21121, 'package': {'weight': 400, 'volume': 42320, 'imperial_unit': 'false'}}
{'order_id': 21122, 'package': {'weight': 300, 'volume': 78568, 'imperial_unit': 'false'}}
{'order_id': 21123, 'package': {'weight': 65, 'volume': 60116, 'imperial_unit': 'false'}}
{'order_id': 21124, 'package': {'weight': 750, 'volume': 57600, 'imperial_unit': 'false'}}
{'order_id': 21125, 'package': {'weight': 128, 'volume': 20800, 'imperial_unit': 'false'}}
{'order_id': 21126, 'package': {'weight': 208, 'volume': 14400, 'imperial_unit': 'false'}}
{'order_id': 21127, 'package': {'weight': 231, 'volume': 22126, 'imperial_unit': 'false'}}
{'order_id': 21128, 'package': {'weight': 100, 'volume': 46656, 'imperial_unit': 'false'}}
{'order_id': 21129, 'package': {'weight': 572, 'volume': 94080, 'imperial_unit': 'false'}}
{'order_id': 21130, 'package': {'weight': 168, 'volume': 26480, 'imperial_unit': 'false'}}
{'order_id': 21131, 'package': {'weight': 400, 'volume': 16000, 'imperial_unit': 'false'}}
{'order_id': 21132, 'package': {'weight': 65, 'volume': 60116, 'imperial_unit': 'false'}}
{'order_id': 21133, 'package': {'weight': 600, 'volume': 109760, 'imperial_unit': 'false'}}
{'order_id': 21134, 'package': {'weight': 450, 'volume': 34560, 'imperial_unit': 'false'}}
{'order_id': 21135, 'package': {'weight': 320, 'volume': 15552, 'imperial_unit': 'false'}}
{'order_id': 21136, 'package': {'weight': 125, 'volume': 5000, 'imperial_unit': 'false'}}
{'order_id': 21137, 'package': {'weight': 150, 'volume': 61380, 'imperial_unit': 'false'}}
{'order_id': 21138, 'package': {'weight': 100, 'volume': 46656, 'imperial_unit': 'false'}}
{'order_id': 21139, 'package': {'weight': 170, 'volume': 47520, 'imperial_unit': 'false'}}
{'order_id': 21140, 'package': {'weight': 120, 'volume': 21600, 'imperial_unit': 'false'}}
{'order_id': 21141, 'package': {'weight': 236, 'volume': 21318, 'imperial_unit': 'false'}}
{'order_id': 21142, 'package': {'weight': 110, 'volume': 18560, 'imperial_unit': 'false'}}
{'order_id': 21143, 'package': {'weight': 125, 'volume': 40000, 'imperial_unit': 'false'}}
{'order_id': 21144, 'package': {'weight': 1393, 'volume': 292878, 'imperial_unit': 'false'}}
{'order_id': 21145, 'package': {'weight': 275, 'volume': 60775, 'imperial_unit': 'false'}}
{'order_id': 21146, 'package': {'weight': 100, 'volume': 46656, 'imperial_unit': 'false'}}
{'order_id': 21147, 'package': {'weight': 300, 'volume': 135407, 'imperial_unit': 'true'}}
{'order_id': 21148, 'package': {'weight': 56, 'volume': 23064, 'imperial_unit': 'false'}}
{'order_id': 21149, 'package': {'weight': 30, 'volume': 20736, 'imperial_unit': 'true'}}
{'order_id': 21150, 'package': {'weight': 104, 'volume': 29220, 'imperial_unit': 'true'}}
{'order_id': 21151, 'package': {'weight': 120, 'volume': 22478, 'imperial_unit': 'true'}}
{'order_id': 21152, 'package': {'weight': 42, 'volume': 4000, 'imperial_unit': 'true'}}
{'order_id': 21153, 'package': {'weight': 120, 'volume': 22478, 'imperial_unit': 'true'}}
{'order_id': 21154, 'package': {'weight': 380, 'volume': 43776, 'imperial_unit': 'true'}}
{'order_id': 21155, 'package': {'weight': 129, 'volume': 15120, 'imperial_unit': 'false'}}
{'order_id': 21156, 'package': {'weight': 129, 'volume': 28100, 'imperial_unit': 'true'}}
{'order_id': 21157, 'package': {'weight': 2299, 'volume': 330372, 'imperial_unit': 'true'}}
{'order_id': 21158, 'package': {'weight': 645, 'volume': 122496, 'imperial_unit': 'true'}}
{'order_id': 21159, 'package': {'weight': 135, 'volume': 25188, 'imperial_unit': 'true'}}
{'order_id': 21160, 'package': {'weight': 135, 'volume': 25188, 'imperial_unit': 'true'}}
{'order_id': 21161, 'package': {'weight': 100, 'volume': 46656, 'imperial_unit': 'false'}}
{'order_id': 21162, 'package': {'weight': 150, 'volume': 33150, 'imperial_unit': 'false'}}
{'order_id': 21163, 'package': {'weight': 150, 'volume': 76800, 'imperial_unit': 'false'}}
{'order_id': 21164, 'package': {'weight': 280, 'volume': 30240, 'imperial_unit': 'false'}}
{'order_id': 21165, 'package': {'weight': 810, 'volume': 62208, 'imperial_unit': 'false'}}
{'order_id': 21166, 'package': {'weight': 111, 'volume': 13824, 'imperial_unit': 'false'}}
{'order_id': 21167, 'package': {'weight': 479, 'volume': 161886, 'imperial_unit': 'false'}}
{'order_id': 21168, 'package': {'weight': 1962, 'volume': 207875, 'imperial_unit': 'false'}}
{'order_id': 21169, 'package': {'weight': 350, 'volume': 76800, 'imperial_unit': 'false'}}
{'order_id': 21170, 'package': {'weight': 150, 'volume': 82944, 'imperial_unit': 'false'}}
{'order_id': 21171, 'package': {'weight': 340, 'volume': 55296, 'imperial_unit': 'false'}}
{'order_id': 21172, 'package': {'weight': 100, 'volume': 46656, 'imperial_unit': 'false'}}
{'order_id': 21173, 'package': {'weight': 190, 'volume': 12494, 'imperial_unit': 'false'}}
{'order_id': 21174, 'package': {'weight': 570, 'volume': 43776, 'imperial_unit': 'false'}}
{'order_id': 21175, 'package': {'weight': 80, 'volume': 19683, 'imperial_unit': 'false'}}
{'order_id': 21176, 'package': {'weight': 160, 'volume': 6783, 'imperial_unit': 'false'}}
{'order_id': 21177, 'package': {'weight': 840, 'volume': 166320, 'imperial_unit': 'false'}}
{'order_id': 21178, 'package': {'weight': 254, 'volume': 38205, 'imperial_unit': 'false'}}
{'order_id': 21179, 'package': {'weight': 100, 'volume': 46656, 'imperial_unit': 'false'}}
{'order_id': 21180, 'package': {'weight': 213, 'volume': 32480, 'imperial_unit': 'false'}}
{'order_id': 21181, 'package': {'weight': 418, 'volume': 70928, 'imperial_unit': 'false'}}
{'order_id': 21182, 'package': {'weight': 418, 'volume': 64232, 'imperial_unit': 'false'}}
{'order_id': 21183, 'package': {'weight': 600, 'volume': 46080, 'imperial_unit': 'false'}}
{'order_id': 21184, 'package': {'weight': 160, 'volume': 6783, 'imperial_unit': 'false'}}
{'order_id': 21185, 'package': {'weight': 118, 'volume': 29568, 'imperial_unit': 'false'}}
{'order_id': 21186, 'package': {'weight': 190, 'volume': 22653, 'imperial_unit': 'false'}}
{'order_id': 21187, 'package': {'weight': 232, 'volume': 28424, 'imperial_unit': 'false'}}
{'order_id': 21188, 'package': {'weight': 204, 'volume': 25082, 'imperial_unit': 'false'}}
{'order_id': 21189, 'package': {'weight': 100, 'volume': 46656, 'imperial_unit': 'false'}}
{'order_id': 21190, 'package': {'weight': 134, 'volume': 20446, 'imperial_unit': 'false'}}
{'order_id': 21191, 'package': {'weight': 130, 'volume': 57600, 'imperial_unit': 'false'}}
{'order_id': 21192, 'package': {'weight': 190, 'volume': 22653, 'imperial_unit': 'false'}}
{'order_id': 21193, 'package': {'weight': 255, 'volume': 126720, 'imperial_unit': 'false'}}
{'order_id': 21194, 'package': {'weight': 780, 'volume': 59904, 'imperial_unit': 'false'}}
{'order_id': 21195, 'package': {'weight': 125, 'volume': 27625, 'imperial_unit': 'false'}}
{'order_id': 21196, 'package': {'weight': 1400, 'volume': 1437696, 'imperial_unit': 'false'}}
{'order_id': 21197, 'package': {'weight': 250, 'volume': 57600, 'imperial_unit': 'true'}}
{'order_id': 21198, 'package': {'weight': 150, 'volume': 14400, 'imperial_unit': 'true'}}
{'order_id': 21199, 'package': {'weight': 200, 'volume': 36920, 'imperial_unit': 'false'}}
{'order_id': 21200, 'package': {'weight': 163, 'volume': 43680, 'imperial_unit': 'false'}}
{'order_id': 21201, 'package': {'weight': 200, 'volume': 36920, 'imperial_unit': 'true'}}
{'order_id': 21202, 'package': {'weight': 250, 'volume': 57600, 'imperial_unit': 'true'}}
{'order_id': 21203, 'package': {'weight': 90, 'volume': 18525, 'imperial_unit': 'false'}}
{'order_id': 21204, 'package': {'weight': 100, 'volume': 46656, 'imperial_unit': 'false'}}
{'order_id': 21205, 'package': {'weight': 319, 'volume': 107880, 'imperial_unit': 'true'}}
{'order_id': 21206, 'package': {'weight': 537, 'volume': 111132, 'imperial_unit': 'true'}}
{'order_id': 21207, 'package': {'weight': 229, 'volume': 22496, 'imperial_unit': 'false'}}
{'order_id': 21208, 'package': {'weight': 780, 'volume': 59904, 'imperial_unit': 'true'}}
{'order_id': 21209, 'package': {'weight': 102, 'volume': 43056, 'imperial_unit': 'false'}}
{'order_id': 21210, 'package': {'weight': 80, 'volume': 16434, 'imperial_unit': 'true'}}
{'order_id': 21211, 'package': {'weight': 125, 'volume': 19968, 'imperial_unit': 'true'}}
{'order_id': 21212, 'package': {'weight': 212, 'volume': 27136, 'imperial_unit': 'false'}}
{'order_id': 21213, 'package': {'weight': 212, 'volume': 27136, 'imperial_unit': 'true'}}
{'order_id': 21214, 'package': {'weight': 110, 'volume': 20910, 'imperial_unit': 'false'}}
{'order_id': 21215, 'package': {'weight': 105, 'volume': 20960, 'imperial_unit': 'true'}}
{'order_id': 21216, 'package': {'weight': 122, 'volume': 19598, 'imperial_unit': 'false'}}
{'order_id': 21217, 'package': {'weight': 150, 'volume': 57246, 'imperial_unit': 'false'}}
{'order_id': 21218, 'package': {'weight': 100, 'volume': 46656, 'imperial_unit': 'false'}}
{'order_id': 21219, 'package': {'weight': 301, 'volume': 52164, 'imperial_unit': 'false'}}
{'order_id': 21220, 'package': {'weight': 100, 'volume': 30720, 'imperial_unit': 'false'}}
{'order_id': 21221, 'package': {'weight': 127, 'volume': 60300, 'imperial_unit': 'false'}}
{'order_id': 21222, 'package': {'weight': 150, 'volume': 38808, 'imperial_unit': 'false'}}
{'order_id': 21223, 'package': {'weight': 630, 'volume': 48384, 'imperial_unit': 'false'}}
{'order_id': 21224, 'package': {'weight': 150, 'volume': 57564, 'imperial_unit': 'false'}}
{'order_id': 21225, 'package': {'weight': 720, 'volume': 55296, 'imperial_unit': 'false'}}
{'order_id': 21226, 'package': {'weight': 100, 'volume': 30720, 'imperial_unit': 'false'}}
{'order_id': 21227, 'package': {'weight': 156, 'volume': 34960, 'imperial_unit': 'false'}}
{'order_id': 21228, 'package': {'weight': 205, 'volume': 41055, 'imperial_unit': 'false'}}
{'order_id': 21229, 'package': {'weight': 175, 'volume': 22500, 'imperial_unit': 'false'}}
{'order_id': 21230, 'package': {'weight': 310, 'volume': 302900, 'imperial_unit': 'false'}}
{'order_id': 21231, 'package': {'weight': 2480, 'volume': 329904, 'imperial_unit': 'false'}}
{'order_id': 21232, 'package': {'weight': 97, 'volume': 21000, 'imperial_unit': 'false'}}
{'order_id': 21233, 'package': {'weight': 292, 'volume': 51800, 'imperial_unit': 'false'}}
{'order_id': 21234, 'package': {'weight': 100, 'volume': 46656, 'imperial_unit': 'false'}}
{'order_id': 21235, 'package': {'weight': 161, 'volume': 31581, 'imperial_unit': 'false'}}
{'order_id': 21236, 'package': {'weight': 840, 'volume': 166320, 'imperial_unit': 'false'}}
{'order_id': 21237, 'package': {'weight': 95, 'volume': 63075, 'imperial_unit': 'false'}}
{'order_id': 21238, 'package': {'weight': 4960, 'volume': 127008, 'imperial_unit': 'false'}}
{'order_id': 21239, 'package': {'weight': 194, 'volume': 39758, 'imperial_unit': 'false'}}
{'order_id': 21240, 'package': {'weight': 95, 'volume': 63075, 'imperial_unit': 'false'}}
{'order_id': 21241, 'package': {'weight': 300, 'volume': 57600, 'imperial_unit': 'false'}}
{'order_id': 21242, 'package': {'weight': 164, 'volume': 15392, 'imperial_unit': 'false'}}
{'order_id': 21243, 'package': {'weight': 111, 'volume': 29013, 'imperial_unit': 'false'}}
{'order_id': 21244, 'package': {'weight': 200, 'volume': 93312, 'imperial_unit': 'false'}}
{'order_id': 21245, 'package': {'weight': 106, 'volume': 46080, 'imperial_unit': 'false'}}
{'order_id': 21246, 'package': {'weight': 297, 'volume': 53130, 'imperial_unit': 'false'}}
{'order_id': 21247, 'package': {'weight': 10, 'volume': 82944, 'imperial_unit': 'false'}}
{'order_id': 21248, 'package': {'weight': 351, 'volume': 90240, 'imperial_unit': 'true'}}
{'order_id': 21249, 'package': {'weight': 186, 'volume': 9826, 'imperial_unit': 'false'}}
{'order_id': 21250, 'package': {'weight': 100, 'volume': 46656, 'imperial_unit': 'false'}}
{'order_id': 21251, 'package': {'weight': 15, 'volume': 33820, 'imperial_unit': 'false'}}
{'order_id': 21252, 'package': {'weight': 175, 'volume': 40936, 'imperial_unit': 'false'}}
{'order_id': 21253, 'package': {'weight': 219, 'volume': 24048, 'imperial_unit': 'false'}}
{'order_id': 21254, 'package': {'weight': 460, 'volume': 77400, 'imperial_unit': 'false'}}
{'order_id': 21255, 'package': {'weight': 120, 'volume': 38880, 'imperial_unit': 'false'}}
{'order_id': 21256, 'package': {'weight': 125, 'volume': 29160, 'imperial_unit': 'false'}}
{'order_id': 21257, 'package': {'weight': 81, 'volume': 34256, 'imperial_unit': 'false'}}
{'order_id': 21258, 'package': {'weight': 175, 'volume': 38675, 'imperial_unit': 'false'}}
{'order_id': 21259, 'package': {'weight': 480, 'volume': 36864, 'imperial_unit': 'true'}}
{'order_id': 21260, 'package': {'weight': 43, 'volume': 73395, 'imperial_unit': 'true'}}
{'order_id': 21261, 'package': {'weight': 252, 'volume': 91656, 'imperial_unit': 'true'}}
{'order_id': 21262, 'package': {'weight': 220, 'volume': 21692, 'imperial_unit': 'true'}}
{'order_id': 21263, 'package': {'weight': 252, 'volume': 91656, 'imperial_unit': 'true'}}
{'order_id': 21264, 'package': {'weight': 150, 'volume': 12000, 'imperial_unit': 'true'}}
{'order_id': 21265, 'package': {'weight': 132, 'volume': 24000, 'imperial_unit': 'false'}}
{'order_id': 21266, 'package': {'weight': 155, 'volume': 30752, 'imperial_unit': 'false'}}
{'order_id': 21267, 'package': {'weight': 210, 'volume': 41160, 'imperial_unit': 'true'}}
{'order_id': 21268, 'package': {'weight': 143, 'volume': 23264, 'imperial_unit': 'false'}}
{'order_id': 21269, 'package': {'weight': 351, 'volume': 69536, 'imperial_unit': 'false'}}
{'order_id': 21270, 'package': {'weight': 200, 'volume': 27040, 'imperial_unit': 'false'}}
{'order_id': 21271, 'package': {'weight': 90, 'volume': 30720, 'imperial_unit': 'false'}}
{'order_id': 21272, 'package': {'weight': 80, 'volume': 30720, 'imperial_unit': 'false'}}
{'order_id': 21273, 'package': {'weight': 140, 'volume': 103414, 'imperial_unit': 'false'}}
{'order_id': 21274, 'package': {'weight': 229, 'volume': 25920, 'imperial_unit': 'false'}}
{'order_id': 21275, 'package': {'weight': 150, 'volume': 31104, 'imperial_unit': 'false'}}
{'order_id': 21276, 'package': {'weight': 68, 'volume': 35200, 'imperial_unit': 'false'}}
{'order_id': 21277, 'package': {'weight': 140, 'volume': 103414, 'imperial_unit': 'false'}}
{'order_id': 21278, 'package': {'weight': 22, 'volume': 4000, 'imperial_unit': 'false'}}
{'order_id': 21279, 'package': {'weight': 150, 'volume': 31104, 'imperial_unit': 'false'}}
{'order_id': 21280, 'package': {'weight': 110, 'volume': 13568, 'imperial_unit': 'false'}}
{'order_id': 21281, 'package': {'weight': 150, 'volume': 38400, 'imperial_unit': 'false'}}
{'order_id': 21282, 'package': {'weight': 108, 'volume': 19392, 'imperial_unit': 'false'}}
{'order_id': 21283, 'package': {'weight': 80, 'volume': 75600, 'imperial_unit': 'false'}}
{'order_id': 21284, 'package': {'weight': 171, 'volume': 28152, 'imperial_unit': 'false'}}
{'order_id': 21285, 'package': {'weight': 15, 'volume': 7680, 'imperial_unit': 'false'}}
{'order_id': 21286, 'package': {'weight': 1348, 'volume': 184320, 'imperial_unit': 'false'}}
{'order_id': 21287, 'package': {'weight': 50, 'volume': 20736, 'imperial_unit': 'false'}}
{'order_id': 21288, 'package': {'weight': 354, 'volume': 92160, 'imperial_unit': 'false'}}
{'order_id': 21289, 'package': {'weight': 110, 'volume': 18502, 'imperial_unit': 'false'}}
{'order_id': 21290, 'package': {'weight': 80, 'volume': 24053, 'imperial_unit': 'false'}}
{'order_id': 21291, 'package': {'weight': 354, 'volume': 138240, 'imperial_unit': 'false'}}
{'order_id': 21292, 'package': {'weight': 205, 'volume': 38880, 'imperial_unit': 'false'}}
{'order_id': 21293, 'package': {'weight': 3092, 'volume': 399527, 'imperial_unit': 'false'}}
{'order_id': 21294, 'package': {'weight': 328, 'volume': 65688, 'imperial_unit': 'false'}}
{'order_id': 21295, 'package': {'weight': 800, 'volume': 388800, 'imperial_unit': 'false'}}
